trade_num,original_pnl,adjusted_pnl,skipped,slippage_cost,spread_cost,lot_penalty,balance_theo,balance_real
180,-0.08836762172154522,-1.9497976753014072,False,0.9839300535798622,0.8775,-0.0,614.5224190973067,447.9702135897595
181,-7.21676083656925,-8.822137667791063,False,0.7278768312218129,0.8775,-0.0,607.3056582607375,439.1480759219684
182,-5.898273794001085,-7.796248124029771,False,1.0204743300286856,0.8775,-0.0,601.4073844667364,431.35182779793865
183,10.84055449060476,9.659105452236599,False,0.30394903836816173,0.8775,0.0,612.2479389573411,441.01093325017524
184,-13.17567808551081,-14.456063355584003,False,0.4028852700731937,0.8775,-0.0,599.0722608718304,426.55486989459126
185,-11.800339678644178,-13.209532501727839,False,0.5316928230836597,0.8775,-0.0,587.2719211931862,413.3453373928634
186,1.3837734689779495,-0.18667253957087304,False,0.6929460085488224,0.8775,0.0,588.6556946621643,413.1586648532926
187,-21.445938927515428,-22.468933429582215,False,1.022994502066788,0.0,-0.0,567.2097557346489,390.6897314237104
188,17.49101244891608,16.560050664166102,False,0.930961784749977,0.0,0.0,584.700768183565,407.2497820878765
189,-20.738834635790752,-20.942959007384367,False,0.2041243715936156,0.0,-0.0,563.9619335477742,386.3068230804921
190,12.550063143931652,11.771656628931938,False,0.7784065149997136,0.0,0.0,576.5119966917058,398.0784797094241
191,20.691649600399955,20.52279211594955,False,0.1688574844504076,0.0,0.0,597.2036462921058,418.6012718253736
192,8.399144600139522,6.956057897287838,False,0.5655867028516838,0.8775,0.0,605.6027908922453,425.55732972266145
193,13.823619947421292,12.424279885466621,False,0.5218400619546723,0.8775,0.0,619.4264108396666,437.98160960812805
194,-13.857654195630744,-15.305015992649247,False,0.5698617970185031,0.8775,-0.0,605.5687566440358,422.6765936154788
195,-3.98412871816177,-5.981426978389295,False,1.1197982602275252,0.8775,-0.0,601.5846279258741,416.69516663708947
196,7.43907078987958,5.8966611364119785,False,0.6649096534676007,0.8775,0.0,609.0236987157537,422.59182777350145
197,-7.863816401976663,-9.891458798098071,False,1.1501423961214068,0.8775,-0.0,601.159882313777,412.70036897540336
198,2.035606946040417,0.3526897964224336,False,0.8054171496179838,0.8775,0.0,603.1954892598174,413.0530587718258
199,-6.553321428887543,-7.734492312327683,False,0.30367088344014065,0.8775,-0.0,596.6421678309298,405.31856645949813
200,-13.751970469863124,-14.943034093062963,False,0.3135636231998384,0.8775,-0.0,582.8901973610666,390.37553236643515
201,-5.085336704515896,-6.482102817781478,False,0.5192661132655819,0.8775,-0.0,577.8048606565508,383.89342954865367
202,-13.783187114422915,-15.500073285382078,False,0.8393861709591616,0.8775,-0.0,564.0216735421278,368.3933562632716
203,-4.19573027466447,-5.167858131444038,False,0.1921278567795673,0.78,-0.0,559.8259432674633,363.2254981318275
204,2.9376152537618054,2.625137985661161,False,0.31247726810064413,0.0,0.0,562.7635585212251,365.8506361174887
205,-4.840102347734273,-5.403430778675203,False,0.5633284309409295,0.0,-0.0,557.9234561734909,360.4472053388135
206,-15.842170480525624,-16.443191347961317,False,0.6010208674356935,0.0,-0.0,542.0812856929653,344.0040139908522
207,-20.952001978965086,-21.81468077160068,False,0.8626787926355938,0.0,-0.0,521.1292837140002,322.18933321925147
208,-7.175226097138761,-8.883469600849153,False,0.928243503710391,0.78,-0.0,513.9540576168614,313.3058636184023
209,-7.405480988025033,-8.586240828987162,False,0.4007598409621281,0.78,-0.0,506.5485766288364,304.71962278941515
210,3.252216928771688,2.2904899202995304,False,0.27922700847215787,0.6825000000000001,0.0,509.8007935576081,307.0101127097147
211,17.790707654236314,16.59692912519106,False,0.511278529045255,0.6825000000000001,0.0,527.5915012118444,323.6070418349058
212,13.581999188252212,13.01711849919051,False,0.5648806890617027,0.0,0.0,541.1735004000966,336.6241603340963
