exit_week,trades,wins,losses,win_rate,gross_profit,gross_loss,net_pnl,avg_pnl,max_win,max_loss,profit_factor,avg_duration,cumulative_pnl
2025-05-12/2025-05-18,15,10,5,0.6666666666666666,32057.554292321343,6495.847941348079,25561.706350973265,1704.1137567315511,3792.1839637756625,-1359.0567845359874,4.935083853836095,0 days 11:07:00,161141.28185155208
2025-05-19/2025-05-25,13,5,8,0.38461538461538464,17125.756688833182,8936.00564985724,8189.751038975942,629.9808491519955,3714.9152755736736,-1442.8714674693424,1.9164890175630966,0 days 12:35:46.153846153,169331.03289052803
2025-05-26/2025-06-01,12,5,7,0.4166666666666667,17618.09431278706,8233.894310789849,9384.20000199721,782.0166668331008,3733.663201332149,-1419.412153561625,2.1397037231459213,0 days 09:10:00,178715.23289252524
2025-06-02/2025-06-08,11,6,5,0.5454545454545454,22858.77989387515,6242.499978307804,16616.279915567346,1510.5709014152133,4095.674693584499,-1511.4665329456045,3.6617989544745875,0 days 14:36:49.090909090,195331.51280809258
2025-06-09/2025-06-15,17,9,8,0.5294117647058824,34287.75123775011,11606.328844830074,22681.422392920038,1334.2013172305906,4161.7385745048805,-1811.441784024197,2.954228826027384,0 days 12:58:14.117647058,218012.93520101262
2025-06-16/2025-06-22,10,4,6,0.4,15398.108482360869,6994.515419438301,8403.593062922566,840.3593062922566,4143.706083297758,-1652.8704303502195,2.201454648247444,0 days 09:12:00,226416.52826393518
2025-06-23/2025-06-29,9,3,6,0.3333333333333333,11935.296535492056,7770.144713938123,4165.1518215539345,462.79464683932605,4051.150202751188,-1798.0798487663208,1.5360455917999138,0 days 17:33:20,230581.68008548912
2025-06-30/2025-07-06,11,2,9,0.18181818181818182,7780.266344547328,11665.218108505116,-3884.951763957787,-353.17743308707156,4094.867527484922,-1627.8741466999236,0.6669627839084065,0 days 15:39:32.727272727,226696.72832153132
2025-07-07/2025-07-13,13,6,7,0.46153846153846156,22854.433536529512,9486.238910347423,13368.194626182087,1028.3226635524682,4062.066435813847,-1848.5995149315215,2.409219686803407,0 days 12:38:04.615384615,240064.9229477134
2025-07-14/2025-07-20,8,7,1,0.875,26764.067351818,1683.3785376549315,25080.68881416307,3135.0861017703837,4120.136618614225,-1683.3785376549315,15.899018998485207,0 days 20:33:45,265145.6117618765
2025-07-21/2025-07-27,11,4,7,0.36363636363636365,15486.984908580866,10756.026300832531,4730.9586077483345,430.0871461589395,4109.832465648679,-1851.4822218418203,1.4398426031537457,0 days 05:35:27.272727272,269876.5703696248
2025-07-28/2025-08-03,16,8,8,0.5,30201.9429802894,10020.110361144105,20181.832619145294,1261.364538696581,4135.586678981725,-1730.671140611264,3.0141327681785053,0 days 13:25:18.750000,290058.4029887701
2025-08-04/2025-08-10,8,3,5,0.375,12272.809982299721,6436.083655759576,5836.726326540146,729.5907908175183,4119.70317363739,-1583.38840994233,1.9068754600970619,0 days 19:16:52.500000,295895.1293153103
2025-08-11/2025-08-17,8,5,3,0.625,19495.921611786,3157.3405956028464,16338.581016183154,2042.3226270228943,4114.324092865047,-1365.9493034184322,6.174792050923334,0 days 21:24:22.500000,312233.7103314934
2025-08-18/2025-08-24,10,4,6,0.4,15303.11894416812,8001.830624476156,7301.288319691962,730.1288319691962,4067.400276660891,-1990.13185724624,1.9124522452848027,0 days 16:12:00,319534.99865118536
2025-08-25/2025-08-31,4,2,2,0.5,7605.104506015721,2284.6442760673826,5320.460229948338,1330.1150574870844,4078.6314010620117,-1375.69767165175,3.3287915259642014,1 days 04:07:30,324855.4588811337
2025-09-01/2025-09-07,11,3,8,0.2727272727272727,11974.130988121062,10623.034914940632,1351.0960731804282,122.82691574367529,4170.238852500887,-1829.0708733199779,1.1271855062135019,0 days 15:04:05.454545454,326206.55495431414
